Employee ID,Department,Job Role,Gender,Age,Hire Date,Years At Company,Education,Marital Status,Business Travel,OverTime,Distance From Home,Job Satisfaction,Performance Rating,Monthly Salary,Attrition
1001,Sales,Account Manager,Female,40,2016-11-27,9.1,Bachelor,Married,Travel_Rarely,No,17,2,3,7921,No
1002,R&D,Research Scientist,Male,36,2015-08-10,10.4,Bachelor,Divorced,Travel_Rarely,No,15,1,4,11721,No
1003,Finance,Accountant,Male,31,2018-08-09,7.4,High School,Married,Non-Travel,Yes,24,3,3,9214,No
1004,HR,HR Specialist,Male,34,2023-04-21,2.7,PhD,Married,Travel_Rarely,No,19,1,2,7810,No
1005,Sales,Sales Executive,Female,40,2019-02-08,6.9,Bachelor,Single,Travel_Frequently,No,1,1,2,10399,No
1006,Sales,Sales Executive,Male,58,2013-10-22,12.2,Master,Married,Non-Travel,Yes,12,3,3,10719,No
1007,Sales,Sales Executive,Male,49,2018-07-04,7.5,Master,Married,Travel_Frequently,No,14,2,4,9987,No
1008,HR,HR Manager,Male,37,2023-05-27,2.6,High School,Married,Travel_Rarely,No,27,3,2,6922,No
1009,R&D,Research Scientist,Female,26,2021-08-08,4.4,Master,Single,Non-Travel,No,2,3,2,11261,No
1010,HR,HR Specialist,Female,31,2017-03-16,8.8,Master,Married,Travel_Rarely,No,10,2,3,7924,No
1011,Sales,Account Manager,Male,23,2025-07-02,0.5,Bachelor,Single,Travel_Frequently,No,22,4,3,9824,Yes
1012,Sales,Sales Manager,Male,33,2025-09-13,0.3,Bachelor,Single,Travel_Frequently,No,5,3,3,7842,No
1013,Sales,Sales Executive,Male,33,2015-09-16,10.3,Bachelor,Married,Travel_Rarely,No,17,1,3,8076,No
1014,Sales,Account Manager,Male,36,2022-03-15,3.8,Master,Single,Non-Travel,No,10,3,4,10282,No
1015,Finance,Finance Manager,Male,54,2014-02-09,11.9,Bachelor,Married,Non-Travel,No,25,2,2,12544,No
1016,R&D,Lab Technician,Female,28,2019-11-27,6.1,Master,Married,Travel_Rarely,No,17,1,3,11738,No
1017,HR,HR Manager,Male,36,2025-08-07,0.4,Master,Single,Non-Travel,No,13,4,3,6506,No
1018,HR,Recruiter,Male,24,2024-08-08,1.4,Bachelor,Married,Travel_Frequently,No,21,3,3,9377,No
1019,Finance,Finance Manager,Male,32,2022-08-08,3.4,Bachelor,Single,Non-Travel,No,3,3,3,9512,No
1020,Marketing,Marketing Specialist,Female,35,2016-07-04,9.5,Bachelor,Married,Non-Travel,Yes,1,3,3,11205,No
1021,IT,Data Analyst,Male,60,2012-03-17,13.8,Master,Single,Travel_Rarely,No,15,3,3,14241,No
1022,Sales,Sales Executive,Male,44,2009-10-23,16.2,PhD,Married,Non-Travel,No,2,4,3,11732,No
1023,Sales,Account Manager,Male,28,2019-03-16,6.8,Bachelor,Single,Non-Travel,Yes,19,4,3,7717,Yes
1024,R&D,R&D Manager,Male,36,2017-05-28,8.6,Master,Married,Travel_Rarely,No,22,1,2,12889,No
1025,IT,Data Analyst,Male,25,2024-01-01,2.0,Bachelor,Married,Travel_Rarely,No,22,3,2,10414,No
1026,Finance,Financial Analyst,Male,26,2025-02-06,0.9,High School,Married,Travel_Rarely,No,6,1,3,8736,No
1027,R&D,Research Scientist,Male,36,2012-01-04,14.0,Bachelor,Married,Travel_Rarely,No,17,4,2,13409,No
1028,Sales,Sales Manager,Male,23,2024-08-08,1.4,Bachelor,Single,Travel_Frequently,No,30,3,3,7579,No
1029,Marketing,Content Creator,Male,41,2018-03-16,7.8,PhD,Divorced,Travel_Rarely,Yes,12,2,3,9599,No
1030,Finance,Financial Analyst,Male,56,2016-01-03,10.0,Bachelor,Single,Travel_Rarely,Yes,15,3,4,9959,No
1031,R&D,R&D Manager,Female,58,2023-05-27,2.6,High School,Married,Travel_Rarely,Yes,22,2,3,9241,No
1032,R&D,R&D Manager,Female,29,2024-09-13,1.3,Master,Married,Travel_Rarely,No,7,2,3,9916,No
1033,HR,HR Manager,Male,56,2008-10-23,17.2,Bachelor,Married,Travel_Rarely,No,10,2,3,12054,No
1034,R&D,Research Scientist,Female,58,2009-05-30,16.6,Bachelor,Married,Travel_Frequently,No,25,4,3,10598,No
1035,Sales,Sales Manager,Female,44,2018-03-16,7.8,Master,Married,Travel_Rarely,No,25,1,3,8672,No
1036,IT,Data Analyst,Female,26,2022-04-21,3.7,Bachelor,Single,Travel_Rarely,No,4,3,3,12111,No
1037,IT,QA Engineer,Male,24,2023-11-26,2.1,Bachelor,Married,Travel_Rarely,Yes,5,3,2,12600,No
1038,Sales,Account Manager,Male,36,2017-02-08,8.9,Bachelor,Married,Travel_Frequently,No,21,1,3,9298,No
1039,IT,QA Engineer,Male,50,2010-03-18,15.8,High School,Married,Travel_Rarely,Yes,19,1,3,12488,Yes
1040,R&D,R&D Manager,Female,41,2021-09-14,4.3,High School,Single,Non-Travel,No,28,2,3,9092,No
1041,Sales,Sales Manager,Male,29,2024-05-26,1.6,Master,Married,Non-Travel,Yes,20,1,3,8467,No
1042,Marketing,Content Creator,Male,47,2019-11-27,6.1,Bachelor,Divorced,Travel_Rarely,No,2,4,1,8531,No
1043,HR,HR Specialist,Male,38,2012-10-22,13.2,Master,Married,Non-Travel,No,22,4,3,9037,No
1044,Sales,Sales Manager,Male,53,2019-07-04,6.5,Master,Married,Non-Travel,No,4,3,3,9245,No
1045,R&D,Lab Technician,Male,52,2021-08-08,4.4,Master,Married,Non-Travel,No,20,3,3,11742,Yes
1046,HR,HR Specialist,Male,35,2023-01-01,3.0,Master,Single,Travel_Rarely,Yes,21,4,3,7369,No
1047,Sales,Account Manager,Male,45,2016-05-28,9.6,Bachelor,Married,Travel_Rarely,Yes,22,1,4,8924,No
1048,R&D,Lab Technician,Male,47,2025-05-26,0.6,Master,Divorced,Non-Travel,No,25,2,3,11579,No
1049,IT,Data Analyst,Female,54,2021-10-20,4.2,Bachelor,Divorced,Travel_Rarely,No,25,2,3,10324,No
1050,IT,Data Analyst,Female,29,2019-11-27,6.1,High School,Married,Non-Travel,No,10,4,4,11580,No
1051,Marketing,Content Creator,Male,39,2019-09-15,6.3,Master,Married,Travel_Frequently,Yes,21,3,4,8006,No
1052,HR,Recruiter,Female,35,2017-02-08,8.9,Master,Single,Travel_Rarely,Yes,11,1,2,8218,Yes
1053,Sales,Sales Executive,Male,42,2014-07-05,11.5,Master,Married,Travel_Rarely,No,6,2,2,11939,No
1054,R&D,Research Scientist,Female,46,2010-03-18,15.8,Master,Married,Travel_Rarely,Yes,11,2,3,12103,No
1055,Marketing,Marketing Specialist,Female,51,2011-10-23,14.2,PhD,Single,Travel_Rarely,No,2,4,4,8469,No
1056,HR,HR Specialist,Male,22,2025-04-20,0.7,High School,Single,Non-Travel,No,21,1,4,9550,No
1057,Sales,Sales Manager,Female,60,2008-09-17,17.3,Master,Married,Non-Travel,No,21,2,3,12804,No
1058,Marketing,Content Creator,Female,57,2020-10-20,5.2,Bachelor,Married,Non-Travel,No,2,1,3,10334,No
1059,HR,Recruiter,Male,57,2016-07-04,9.5,Master,Married,Travel_Rarely,No,24,4,3,9935,No
1060,Marketing,Marketing Manager,Male,33,2014-04-23,11.7,Bachelor,Divorced,Non-Travel,No,9,4,3,9895,No
1061,R&D,R&D Manager,Male,40,2015-04-23,10.7,High School,Divorced,Non-Travel,Yes,25,2,3,12399,No
1062,IT,QA Engineer,Female,33,2020-10-20,5.2,High School,Single,Travel_Rarely,Yes,22,3,4,12799,No
1063,HR,Recruiter,Male,25,2023-04-21,2.7,Bachelor,Divorced,Travel_Rarely,No,9,2,4,6842,No
1064,R&D,Research Scientist,Male,59,2022-07-03,3.5,Master,Married,Travel_Rarely,Yes,2,4,4,10798,No
1065,Marketing,Marketing Manager,Female,51,2010-04-24,15.7,PhD,Single,Travel_Frequently,No,21,4,2,11564,No
1066,Sales,Account Manager,Male,54,2009-05-30,16.6,High School,Divorced,Non-Travel,No,26,3,3,12173,No
1067,Sales,Account Manager,Female,25,2023-01-01,3.0,PhD,Married,Non-Travel,No,16,1,3,7356,No
1068,Finance,Accountant,Female,25,2024-05-26,1.6,Master,Single,Travel_Rarely,No,9,2,3,8827,No
1069,R&D,R&D Manager,Female,46,2008-02-11,17.9,Master,Married,Travel_Rarely,No,27,3,3,11818,No
1070,Marketing,Marketing Specialist,Female,26,2022-09-14,3.3,PhD,Divorced,Travel_Rarely,No,14,3,3,8599,No
1071,IT,Data Analyst,Male,34,2021-03-15,4.8,Bachelor,Married,Travel_Frequently,No,4,2,2,12691,No
1072,IT,QA Engineer,Male,48,2010-02-10,15.9,Bachelor,Married,Non-Travel,No,7,1,3,13474,No
1073,Sales,Sales Executive,Female,40,2010-02-10,15.9,Master,Divorced,Travel_Frequently,No,2,2,4,12074,No
1074,Sales,Sales Manager,Female,23,2025-12-31,0.0,Master,Single,Travel_Rarely,No,13,3,4,8356,No
1075,Sales,Sales Manager,Male,38,2013-05-29,12.6,Bachelor,Married,Non-Travel,No,6,1,4,10436,Yes
1076,Finance,Financial Analyst,Male,27,2024-05-26,1.6,Master,Married,Travel_Rarely,No,16,4,3,8743,No
1077,Finance,Accountant,Male,56,2012-09-16,13.3,Bachelor,Single,Travel_Rarely,No,21,4,4,10152,No
1078,HR,HR Manager,Male,31,2024-03-14,1.8,Master,Single,Travel_Frequently,No,16,2,3,7234,No
1079,Sales,Sales Executive,Male,44,2020-04-21,5.7,Master,Single,Travel_Rarely,No,28,2,4,10836,No
1080,Sales,Sales Manager,Male,55,2020-10-20,5.2,Bachelor,Married,Non-Travel,No,11,2,3,10252,Yes
1081,Sales,Sales Manager,Male,53,2012-07-05,13.5,Bachelor,Married,Travel_Rarely,No,14,2,2,12016,No
1082,Sales,Sales Manager,Male,57,2006-05-31,19.6,Bachelor,Single,Travel_Frequently,Yes,1,3,3,11323,No
1083,Sales,Sales Manager,Female,44,2017-02-08,8.9,PhD,Married,Travel_Rarely,No,8,2,4,11087,No
1084,HR,Recruiter,Male,46,2022-08-08,3.4,Bachelor,Single,Travel_Rarely,No,10,4,3,7272,No
1085,R&D,R&D Manager,Male,55,2024-11-25,1.1,Bachelor,Single,Travel_Rarely,No,21,1,2,11195,No
1086,R&D,Research Scientist,Male,23,2025-08-07,0.4,Master,Divorced,Non-Travel,No,13,2,3,8369,Yes
1087,Sales,Account Manager,Female,48,2013-10-22,12.2,Bachelor,Married,Travel_Frequently,Yes,25,1,4,10593,No
1088,R&D,Research Scientist,Female,54,2024-02-07,1.9,Bachelor,Single,Travel_Rarely,No,9,4,3,12048,Yes
1089,Sales,Sales Executive,Male,41,2008-01-05,18.0,Master,Married,Non-Travel,No,26,3,3,11723,No
1090,Finance,Financial Analyst,Female,36,2018-10-21,7.2,Master,Married,Travel_Frequently,No,28,2,3,12441,Yes
1091,IT,Data Analyst,Female,44,2023-07-03,2.5,Bachelor,Single,Non-Travel,Yes,6,2,3,12434,No
1092,HR,HR Manager,Female,58,2014-09-16,11.3,Bachelor,Divorced,Travel_Rarely,No,10,3,3,10785,No
1093,Sales,Sales Executive,Female,42,2022-05-27,3.6,Bachelor,Married,Non-Travel,No,5,4,3,7133,No
1094,IT,IT Manager,Male,46,2013-09-16,12.3,Bachelor,Married,Travel_Frequently,No,28,2,2,14539,No
1095,IT,Software Engineer,Female,29,2023-10-20,2.2,Bachelor,Married,Non-Travel,Yes,21,3,4,13470,No
1096,Finance,Accountant,Male,35,2021-10-20,4.2,PhD,Married,Non-Travel,No,21,4,4,12044,No
1097,Sales,Sales Executive,Female,34,2020-03-15,5.8,Bachelor,Single,Travel_Frequently,No,5,2,4,8857,No
1098,Finance,Finance Manager,Female,23,2024-07-02,1.5,Bachelor,Single,Travel_Rarely,Yes,4,3,2,9549,No
1099,Finance,Finance Manager,Female,33,2024-08-08,1.4,High School,Single,Travel_Rarely,No,30,2,1,10885,No
1100,IT,IT Manager,Female,60,2015-03-17,10.8,PhD,Single,Non-Travel,No,9,3,3,14007,Yes
1101,Sales,Account Manager,Female,51,2018-08-09,7.4,Master,Single,Travel_Frequently,No,30,4,3,8748,No
1102,Sales,Sales Executive,Male,30,2018-09-15,7.3,High School,Married,Travel_Rarely,No,10,4,4,9214,No
1103,Marketing,Marketing Specialist,Male,28,2022-01-01,4.0,Bachelor,Married,Non-Travel,Yes,12,2,3,6943,No
1104,R&D,R&D Manager,Female,47,2025-08-07,0.4,Master,Single,Travel_Rarely,No,26,2,2,8338,No
1105,Marketing,Marketing Specialist,Male,28,2025-03-14,0.8,Bachelor,Divorced,Non-Travel,No,2,4,1,9131,No
1106,Sales,Account Manager,Male,28,2020-11-26,5.1,Master,Single,Travel_Rarely,No,8,1,1,10473,No
1107,IT,QA Engineer,Female,57,2021-09-14,4.3,Master,Married,Travel_Frequently,No,30,3,3,12038,No
1108,Finance,Accountant,Male,31,2024-01-01,2.0,Bachelor,Single,Travel_Rarely,Yes,10,1,2,10038,No
1109,IT,IT Manager,Female,51,2018-07-04,7.5,Master,Married,Non-Travel,Yes,13,1,3,12186,Yes
1110,Finance,Accountant,Female,58,2009-07-06,16.5,Bachelor,Married,Travel_Rarely,Yes,10,1,4,13503,No
1111,R&D,Lab Technician,Male,37,2012-09-16,13.3,High School,Single,Non-Travel,No,12,1,2,13548,No
1112,IT,Software Engineer,Male,51,2012-03-17,13.8,PhD,Single,Non-Travel,No,30,3,2,12122,No
1113,IT,QA Engineer,Male,30,2021-01-01,5.0,High School,Single,Non-Travel,No,4,4,4,10877,No
1114,Finance,Finance Manager,Male,42,2015-04-23,10.7,PhD,Married,Travel_Frequently,Yes,2,1,3,9156,No
1115,R&D,R&D Manager,Male,49,2010-09-17,15.3,Master,Single,Non-Travel,No,25,2,3,13914,No
1116,HR,Recruiter,Male,31,2019-04-22,6.7,PhD,Married,Travel_Rarely,No,2,1,3,6862,No
1117,Sales,Sales Executive,Female,46,2006-10-24,19.2,PhD,Single,Non-Travel,No,26,2,4,13213,No
1118,Finance,Financial Analyst,Female,25,2022-08-08,3.4,Bachelor,Married,Travel_Rarely,No,20,3,3,8498,No
1119,R&D,R&D Manager,Female,23,2025-08-07,0.4,Master,Married,Travel_Rarely,No,27,1,4,8781,No
1120,IT,QA Engineer,Male,45,2012-07-05,13.5,Master,Married,Travel_Rarely,Yes,13,2,3,15340,No
1121,HR,Recruiter,Female,60,2017-01-02,9.0,Bachelor,Married,Travel_Rarely,Yes,11,2,2,8665,No
1122,Marketing,Content Creator,Male,36,2019-05-28,6.6,Master,Single,Travel_Rarely,No,1,2,4,8790,Yes
1123,Sales,Sales Manager,Male,43,2018-02-08,7.9,Master,Married,Travel_Rarely,Yes,11,4,3,10046,No
1124,IT,Data Analyst,Female,29,2018-09-15,7.3,Bachelor,Divorced,Travel_Rarely,No,6,4,3,12232,No
1125,IT,Software Engineer,Male,57,2008-10-23,17.2,Master,Single,Travel_Rarely,No,19,3,2,15543,No
1126,Sales,Account Manager,Male,37,2015-05-29,10.6,Master,Divorced,Travel_Rarely,No,26,1,3,8332,Yes
1127,Sales,Account Manager,Female,58,2015-03-17,10.8,Bachelor,Single,Non-Travel,No,22,2,2,12088,No
1128,IT,QA Engineer,Female,59,2016-01-03,10.0,High School,Single,Non-Travel,No,20,3,3,12153,No
1129,IT,Data Analyst,Female,27,2022-10-20,3.2,Master,Married,Travel_Rarely,No,6,2,4,12264,No
1130,Finance,Accountant,Female,41,2012-05-29,13.6,High School,Single,Travel_Frequently,No,19,4,3,10628,No
1131,IT,Software Engineer,Male,57,2015-03-17,10.8,Bachelor,Single,Non-Travel,No,25,3,3,14624,Yes
1132,IT,QA Engineer,Male,55,2020-09-14,5.3,PhD,Married,Non-Travel,No,6,3,3,11937,No
1133,Sales,Account Manager,Male,53,2021-07-03,4.5,Bachelor,Married,Travel_Rarely,Yes,12,1,3,9191,Yes
1134,Sales,Account Manager,Female,39,2025-08-07,0.4,Bachelor,Single,Non-Travel,Yes,20,2,4,9915,No
1135,Sales,Account Manager,Female,39,2019-05-28,6.6,Bachelor,Single,Travel_Rarely,No,27,1,3,10025,No
1136,IT,QA Engineer,Male,54,2008-11-29,17.1,Master,Divorced,Travel_Rarely,Yes,19,1,3,12411,No
1137,IT,IT Manager,Female,22,2025-02-06,0.9,Bachelor,Single,Non-Travel,No,7,2,3,12912,No
